42, 0.25, 0, 1, 0.03, 1
51, 0.38, 1, 1, 0.02, 1
46, 0.30, 1, 0, 0.00, 0
59, 0.47, 1, 1, 0.04, 1
37, 0.20, 0, 0, 0.00, 0
56, 0.44, 0, 1, 0.02, 1
43, 0.27, 0, 1, 0.03, 1
49, 0.33, 0, 0, 0.00, 0
39, 0.22, 0, 0, 0.01, 0
54, 0.40, 1, 1, 0.03, 1
58, 0.46, 1, 0, 0.01, 1
50, 0.35, 1, 0, 0.00, 1
47, 0.29, 0, 0, 0.02, 1
55, 0.42, 0, 0, 0.00, 1
61, 0.50, 1, 0, 0.01, 1
52, 0.37, 0, 0, 0.00, 1
45, 0.28, 1, 0, 0.00, 0
44, 0.27, 0, 1, 0.02, 1
57, 0.45, 0, 0, 0.00, 1
40, 0.23, 1, 1, 0.04, 0
53, 0.39, 1, 0, 0.01, 1
60, 0.48, 0, 0, 0.00, 1
41, 0.24, 1, 0, 0.00, 1
38, 0.21, 1, 0, 0.00, 0
48, 0.31, 1, 1, 0.03, 1
59, 0.46, 0, 0, 0.01, 1
52, 0.35, 1, 1, 0.04, 0
42, 0.20, 0, 1, 0.01, 1
61, 0.72, 1, 0, 0.02, 1
43, 0.26, 0, 0, 0.00, 0
48, 0.31, 1, 1, 0.03, 1
55, 0.42, 0, 1, 0.01, 1
46, 0.23, 1, 0, 0.02, 0
59, 0.60, 1, 0, 0.03, 1
50, 0.33, 0, 0, 0.00, 0
54, 0.38, 1, 1, 0.05, 1
42, 0.20, 0, 0, 0.00, 0
49, 0.30, 1, 0, 0.01, 0
60, 0.68, 1, 0, 0.04, 1
45, 0.22, 1, 0, 0.01, 0
53, 0.37, 1, 1, 0.03, 1
59, 0.60, 0, 1, 0.02, 1
50, 0.33, 1, 1, 0.02, 1
54, 0.38, 0, 1, 0.04, 1
45, 0.22, 1, 1, 0.03, 1
51, 0.34, 0, 0, 0.01, 0
57, 0.47, 0, 0, 0.00, 0
60, 0.68, 0, 1, 0.04, 1
45, 0.72, 1, 1, 0.25, 1
51, 0.62, 1, 1, 0.20, 1
68, 0.85, 0, 1, 0.40, 1
59, 0.78, 0, 1, 0.35, 1
43, 0.25, 0, 0, 0.05, 0
56, 0.92, 0, 1, 0.50, 1
62, 0.68, 1, 1, 0.30, 1
48, 0.32, 1, 0, 0.15, 0
53, 0.55, 0, 1, 0.25, 0
41, 0.22, 1, 0, 0.08, 0
63, 0.79, 1, 1, 0.45, 1
50, 0.42, 0, 1, 0.18, 1
47, 0.38, 1, 0, 0.12, 0
55, 0.67, 0, 1, 0.30, 1
60, 0.73, 1, 1, 0.35, 1
44, 0.28, 0, 0, 0.07, 0
69, 0.90, 1, 1, 0.55, 1
58, 0.65, 0, 1, 0.28, 1
42, 0.20, 1, 0, 0.05, 0
54, 0.58, 1, 1, 0.27, 1
46, 0.35, 0, 1, 0.20, 0
54, 0.25, 0, 1, 0.75, 0
67, 0.80, 1, 1, 0.56, 1
58, 0.40, 0, 1, 0.92, 1
72, 0.65, 0, 0, 0.37, 1
61, 0.55, 1, 0, 0.44, 0
50, 0.22, 0, 1, 0.81, 1
48, 0.20, 1, 0, 0.29, 0
59, 0.42, 0, 1, 0.88, 1
66, 0.75, 0, 1, 0.61, 1
55, 0.30, 1, 0, 0.67, 1
70, 0.60, 0, 0, 0.41, 1
62, 0.58, 1, 0, 0.47, 0
51, 0.24, 0, 1, 0.78, 1
54, 0.78, 0, 1, 0.75, 1
67, 0.89, 1, 1, 0.56, 1
58, 0.71, 0, 1, 0.92, 1
72, 0.98, 0, 0, 0.37, 1
61, 0.72, 1, 0, 0.44, 1
50, 0.23, 0, 1, 0.81, 0
59, 0.67, 0, 1, 0.88, 1
66, 0.86, 0, 1, 0.61, 1
55, 0.79, 1, 0, 0.67, 1
70, 0.92, 0, 0, 0.41, 1
62, 0.79, 1, 0, 0.47, 1
51, 0.21, 0, 1, 0.78, 0
