32, 0.15, 1, 0, 0.01, 0
42, 0.25, 0, 1, 0.03, 1
51, 0.38, 1, 1, 0.02, 1
46, 0.30, 1, 0, 0.00, 0
59, 0.47, 1, 1, 0.04, 1
37, 0.20, 0, 0, 0.00, 0
56, 0.44, 0, 1, 0.02, 1
28, 0.10, 1, 0, 0.01, 0
43, 0.27, 0, 1, 0.03, 1
49, 0.33, 0, 0, 0.00, 0
39, 0.22, 0, 0, 0.01, 0
54, 0.40, 1, 1, 0.03, 1
58, 0.46, 1, 0, 0.01, 1
30, 0.12, 1, 1, 0.01, 0
50, 0.35, 1, 0, 0.00, 1
47, 0.29, 0, 0, 0.02, 1
55, 0.42, 0, 0, 0.00, 1
36, 0.18, 0, 1, 0.03, 0
61, 0.50, 1, 0, 0.01, 1
52, 0.37, 0, 0, 0.00, 1
45, 0.28, 1, 0, 0.00, 0
31, 0.14, 0, 1, 0.02, 0
44, 0.27, 0, 1, 0.02, 1
57, 0.45, 0, 0, 0.00, 1
40, 0.23, 1, 1, 0.04, 0
53, 0.39, 1, 0, 0.01, 1
29, 0.11, 0, 1, 0.02, 0
60, 0.48, 0, 0, 0.00, 1
33, 0.16, 0, 1, 0.01, 0
41, 0.24, 1, 0, 0.00, 1
38, 0.21, 1, 0, 0.00, 0
48, 0.31, 1, 1, 0.03, 1
59, 0.46, 0, 0, 0.01, 1
52, 0.35, 1, 1, 0.04, 0
42, 0.20, 0, 1, 0.01, 1
61, 0.72, 1, 0, 0.02, 1
29, 0.05, 0, 0, 0.00, 0
43, 0.26, 0, 0, 0.00, 0
37, 0.18, 1, 0, 0.01, 0
48, 0.31, 1, 1, 0.03, 1
55, 0.42, 0, 1, 0.01, 1
33, 0.09, 1, 0, 0.00, 0
46, 0.23, 1, 0, 0.02, 0
28, 0.03, 1, 0, 0.00, 0
59, 0.60, 1, 0, 0.03, 1
50, 0.33, 0, 0, 0.00, 0
31, 0.08, 1, 0, 0.00, 0
54, 0.38, 1, 1, 0.05, 1
42, 0.20, 0, 0, 0.00, 0
49, 0.30, 1, 0, 0.01, 0
60, 0.68, 1, 0, 0.04, 1
45, 0.22, 1, 0, 0.01, 0
53, 0.37, 1, 1, 0.03, 1
32, 0.06, 0, 1, 0.00, 0
40, 0.16, 1, 1, 0.01, 0
59, 0.60, 0, 1, 0.02, 1
41, 0.17, 0, 0, 0.00, 0
50, 0.33, 1, 1, 0.02, 1
54, 0.38, 0, 1, 0.04, 1
38, 0.19, 0, 1, 0.00, 0
34, 0.11, 1, 1, 0.00, 0
45, 0.22, 1, 1, 0.03, 1
30, 0.07, 1, 0, 0.00, 0
51, 0.34, 0, 0, 0.01, 0
57, 0.47, 0, 0, 0.00, 0
60, 0.68, 0, 1, 0.04, 1
62,0.3,1,1,0.1,0
55,0.6,0,0,0.2,1
41,0.2,1,0,0,0
48,0.5,0,0,0.5,1
33,0.1,0,1,0,0
47,0.4,0,0,0.3,0
54,0.7,1,1,0.4,1
39,0.3,0,0,0,0
59,0.8,1,0,0.2,1
44,0.2,1,1,0,0
37,0.1,0,0,0.3,0
61,0.4,1,1,0.1,1
53,0.6,0,0,0,1
49,0.3,0,1,0,0
45,0.2,1,1,0,0
31,0.1,0,0,0.4,0
50,0.4,1,0,0,1
57,0.7,0,0,0.1,1
35,0.2,0,1,0,0
43,0.1,1,0,0.3,0
46,0.3,0,0,0.2,0
36,0.1,1,1,0,0
51,0.5,0,0,0.4,1
58,0.8,1,0,0,1
40,0.2,0,1,0,0
56,0.6,1,0,0.5,1
52,0.4,1,0,0.1,1
60,0.7,0,1,0.2,1
42,0.1,0,0,0.1,0
38,0.2,1,0,0,0
34,0.1,0,1,0,0
32,0.1,1,0,0.3,0
